X,Y,Point,index,index_g,Node,Candidate,PT,graph
2370.7866211,1199.5537109,a,0,0_0,Node3,0,0,0
2356.373291,1284.7198486,b,1,0_1,Node1,0,0,0
2429.4711914,1330.5316162,c,2,0_2,Node4,0,0,0
2474.2026367,1220.0159912,d,3,0_3,Node2,0,0,0
2407.70843505,1258.7052917249998,e,-1,0_-1,Node0,0,0,0
2370.7866211,1199.5537109,a,0,0_0,Node1,1,7,0
2356.373291,1284.7198486,b,1,0_1,Node3,1,7,0
2474.2026367,1220.0159912,c,3,0_3,Node4,1,7,0
2495.4641113,1517.02722168,d,8,0_8,Node2,1,7,0
2424.206665025,1305.329193095,e,-1,0_-1,Node0,1,7,0
2370.7866211,1199.5537109,a,0,0_0,Node3,2,7,0
2356.373291,1284.7198486,b,1,0_1,Node2,2,7,0
2429.4711914,1330.5316162,c,2,0_2,Node1,2,7,0
2495.4641113,1517.02722168,d,8,0_8,Node4,2,7,0
2413.0238037,1332.958099345,e,-1,0_-1,Node0,2,7,0
2370.7866211,1199.5537109,a,0,0_0,Node3,3,7,0
2429.4711914,1330.5316162,b,2,0_2,Node1,3,7,0
2474.2026367,1220.0159912,c,3,0_3,Node2,3,7,0
2495.4641113,1517.02722168,d,8,0_8,Node4,3,7,0
2442.481140125,1316.782134995,e,-1,0_-1,Node0,3,7,0
2356.373291,1284.7198486,a,1,0_1,Node3,4,7,0
2429.4711914,1330.5316162,b,2,0_2,Node1,4,7,0
2474.2026367,1220.0159912,c,3,0_3,Node4,4,7,0
2495.4641113,1517.02722168,d,8,0_8,Node2,4,7,0
2438.8778076,1338.07366942,e,-1,0_-1,Node0,4,7,0
2761.5537109,1397.4881592,a,4,0_4,Node4,5,1,0
2919.3642578,1456.12414551,b,5,0_5,Node2,5,1,0
2783.5617676,1484.28833008,c,6,0_6,Node1,5,1,0
2886.0092773,1528.62658691,d,7,0_7,Node3,5,1,0
2837.6222534,1466.6318054249998,e,-1,0_-1,Node0,5,1,0
2761.5537109,1397.4881592,a,4,0_4,Node2,6,7,0
2919.3642578,1456.12414551,b,5,0_5,Node3,6,7,0
2783.5617676,1484.28833008,c,6,0_6,Node1,6,7,0
2623.1052246,1563.72949219,d,10,0_10,Node4,6,7,0
2771.896240225,1475.407531745,e,-1,0_-1,Node0,6,7,0
2761.5537109,1397.4881592,a,4,0_4,Node4,7,7,0
2783.5617676,1484.28833008,b,6,0_6,Node1,7,7,0
2886.0092773,1528.62658691,c,7,0_7,Node3,7,7,0
2623.1052246,1563.72949219,d,10,0_10,Node2,7,7,0
2763.5574951,1493.533142095,e,-1,0_-1,Node0,7,7,0
2761.5537109,1397.4881592,a,4,0_4,Node4,8,7,0
